timestamp,current,voltage,b1_voltage,b1_current,b1_smoothed,b2_voltage,b2_current,b2_smoothed,b3_voltage,b3_current,b3_smoothed
2025-06-14 12:46:46,19.5,54.12,0.16,4.86,0.49,0.23,6.92,0.69,0.23,6.89,0.69
2025-06-14 12:46:46,19.5,54.12,0.23,6.89,1.17,0.41,12.3,1.92,0.37,11.07,1.8
2025-06-14 12:46:46,19.5,54.12,0.28,8.37,2.01,0.39,11.57,3.08,0.34,10.08,2.8
2025-06-14 12:46:47,19.5,54.12,0.22,6.62,2.67,0.33,9.8,4.06,0.26,7.91,3.6
2025-06-14 12:46:47,19.5,54.12,0.13,3.98,3.07,0.23,6.89,4.75,0.37,10.95,4.69
2025-06-14 12:46:47,19.5,54.12,0.28,8.31,3.9,0.4,11.89,5.94,0.32,9.56,5.65
2025-06-14 12:46:47,19.5,54.12,0.16,4.76,4.38,0.23,6.9,6.63,0.19,5.6,6.21
2025-06-14 12:46:47,19.5,54.12,0.22,6.56,5.04,0.38,11.46,7.77,0.36,10.9,7.3
2025-06-14 12:46:47,19.5,54.12,0.28,8.41,5.88,0.41,12.18,8.99,0.37,10.98,8.39
2025-06-14 12:46:47,19.5,54.12,0.28,8.27,6.7,0.41,12.26,10.22,0.37,11.05,9.5
2025-06-14 12:46:47,19.5,54.12,0.27,8.02,7.02,0.38,11.41,10.67,0.28,8.35,9.64
2025-06-14 12:46:48,19.5,54.12,0.13,3.99,6.73,0.23,7.03,10.14,0.21,6.29,9.17
2025-06-14 12:46:48,19.5,54.12,0.23,6.82,6.57,0.39,11.81,10.16,0.37,11.1,9.27
2025-06-14 12:46:48,19.5,54.12,0.28,8.31,6.74,0.41,12.29,10.41,0.36,10.67,9.54
2025-06-14 12:46:48,19.5,54.12,0.16,4.8,6.83,0.22,6.73,10.4,0.19,5.75,9.02
2025-06-14 12:46:48,19.5,54.12,0.26,7.73,6.77,0.41,12.18,10.43,0.37,11.06,9.17
